Title,Author,ISBN,Average Rating,Publication Date,Rating
"Vampire, Interrupted",Lynsay Sands,,4.34,,0
Vampires are Forever,Lynsay Sands,,4.26,,0
How to Marry a Millionaire Vampire,Kerrelyn Sparks,,3.85,,0
The Future of Us,Jay Asher,,3.57,,0
The Iron Queen,Julie Kagawa,,4.20,,0
Inheritance,Christopher Paolini,,4.13,,0
The Voyage of the Dawn Treader,C.S. Lewis,,4.09,,0
Paranormalcy,Kiersten White,,3.88,,0
Blue Bloods,Melissa de la Cruz,,3.70,,0
Me and Earl and the Dying Girl,Jesse Andrews,,3.52,,0
Untamed,P.C. Cast,,3.94,,0
Brisingr,Christopher Paolini,,4.08,,0
Beastly,Alex Flinn,,3.82,,0
Evermore,Alyson Noel,,3.59,,0
The One,Kiera Cass,,4.16,,0
The Death Cure,James Dashner,,3.78,,0
Crossed,Ally Condie,,3.52,,0
Marked,P.C. Cast,,3.81,,0
Harry Potter and the Chamber of Secrets,J.K. Rowling,,4.43,,0
The Scorch Trials,James Dashner,,3.90,,0
Matched,Ally Condie,,3.63,,0
The Maze Runner,James Dashner,,4.05,,0
Insurgent,Veronica Roth,,3.98,,0
Harry Potter and the Half-Blood Prince,J.K. Rowling,,4.58,,0
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,,4.58,,0
Harry Potter and the Deathly Hallows,J.K. Rowling,,4.62,,0
Harry Potter and the Goblet of Fire,J.K. Rowling,,4.56,,0
Mockingjay,Suzanne Collins,,4.08,,0
Catching Fire,Suzanne Collins,,4.31,,0
Double Down,Jeff Kinney,,4.25,,0
Old School,Jeff Kinney,,4.31,,0
The Long Haul,Jeff Kinney,,4.33,,0
Hard Luck,Jeff Kinney,,4.28,,0
The Third Wheel,Jeff Kinney,,4.21,,0
Cabin Fever,Jeff Kinney,,4.24,,0
The Ugly Truth,Jeff Kinney,,4.19,,0
Dog Days,Jeff Kinney,,4.17,,0
The Last Straw,Jeff Kinney,,4.15,,0
Rodrick Rules,Jeff Kinney,,4.15,,0
Diary of a Wimpy Kid,Jeff Kinney,,3.98,,0
The Martian,Andy Weir,,4.41,,0
The Iron Trial,Holly Black,,3.96,,0
Starflight,Melissa Landers,,3.85,,0
