Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,"=""0307346609""","=""9780307346605""",5,4.02,Crown,Hardcover,342,2006,2006,2020/09/07,2020/09/01,"owned, 2020","owned (#18), 2020 (#15)",read,,,,1,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",5,4.26,Ace,Hardcover,658,2019,1965,2020/09/13,2020/09/01,"owned, 2020","owned (#14), 2020 (#14)",read,,,,1,0
44492285,"Dune Messiah (Dune, #2)",Frank Herbert,"Herbert, Frank",,"=""0593098234""","=""9780593098233""",4,3.89,Ace,Mass Market Paperback,337,2019,1969,2020/09/16,2020/09/16,"owned, 2020","owned (#15), 2020 (#13)",read,,,,1,0
44492286,"Children of Dune (Dune, #3)",Frank Herbert,"Herbert, Frank",,"=""0593098242""","=""9780593098240""",3,3.96,Ace,Paperback,609,2019,1976,2020/09/29,2020/09/30,"owned, 2020","owned (#16), 2020 (#12)",read,,,,1,0
44439415,"God Emperor of Dune (Dune, #4)",Frank Herbert,"Herbert, Frank",,"=""0593098250""","=""9780593098257""",4,3.88,Ace,Paperback,587,2019,1981,2020/10/11,2020/10/11,"owned, 2020","owned (#17), 2020 (#11)",read,,,,1,0
18478222,Twelve Years a Slave,Solomon Northup,"Northup, Solomon","Eric Ashley Hairston, Joseph Logsdon, Sue Eakin, Karolyn Smardz Frost","=""""","=""9780989794800""",5,4.21,Eakin Films & Publishing,ebook,363,2013,1853,2020/10/16,2020/10/16,"owned, 2020","owned (#24), 2020 (#10)",read,,,,1,0
36236124,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393355942""","=""9780393355949""",4,4.19,W. W. Norton & Company,Paperback,224,2018,1996,2020/10/17,2020/10/17,2020,2020 (#9),read,,,,1,0
44492287,"Heretics of Dune (Dune, #5)",Frank Herbert,"Herbert, Frank",,"=""0593098269""","=""9780593098264""",3,3.87,Ace,Paperback,669,2019,1984,2020/11/01,2020/11/01,2020,2020 (#8),read,,,,1,0
41817486,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""0393341763""","=""9780393341768""",4,4.00,W. W. Norton & Company,Paperback,240,2019,1962,2020/11/03,2020/11/03,2020,2020 (#7),read,,,,1,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",4,4.23,Crown Publishers,Hardcover,374,2011,2011,2020/11/04,2020/09/01,2020,2020 (#6),read,,,,1,0
44439416,"Chapterhouse: Dune (Dune, #6)",Frank Herbert,"Herbert, Frank",,"=""0593098277""","=""9780593098271""",3,3.90,Ace,Paperback,624,2019,1985,2020/12/04,2020/12/06,2020,2020 (#5),read,,,,1,0
20342617,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,"Stevenson, Bryan",,"=""""","=""""",5,4.63,One World,Hardcover,336,2014,2014,2020/12/10,2020/10/16,2020,2020 (#4),read,,,,1,0
62022,The Queen's Gambit,Walter Tevis,"Tevis, Walter",,"=""1400030609""","=""9781400030606""",4,4.19,Vintage,Paperback,258,2003,1983,2020/12/13,2020/12/13,2020,2020 (#3),read,,,,1,0
204180,Bobby Fischer Goes to War: How the Soviets Lost the Most Extraordinary Chess Match of All Time,David Edmonds,"Edmonds, David",John Eidinow,"=""0060510242""","=""9780060510244""",4,3.90,Ecco,Hardcover,368,2004,2003,2020/12/24,2020/12/27,2020,2020 (#2),read,,,,1,0
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,"=""""","=""""",0,4.16,Tor.com,ebook,144,2017,2017,,2020/11/28,to-read,to-read (#4),to-read,,,,0,0
13651,The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.24,Harper Voyager,Paperback,387,1994,1974,,2020/10/17,to-read,to-read (#3),to-read,,,,0,0
31451080,Be Free or Die: The Amazing Story of Robert Smalls' Escape from Slavery to Union Hero,Cate Lineberry,"Lineberry, Cate",,"=""1250101867""","=""9781250101860""",0,4.04,St. Martin's Press,Hardcover,288,2017,2017,,2020/10/16,to-read,to-read (#2),to-read,,,,0,0
386162,"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",0,4.23,Del Rey,Paperback,193,2007,1979,,2020/09/03,to-read,to-read (#1),to-read,,,,0,0
